Iso Code,Continent,Location,Last Updated Date,Total Cases,New Cases,New Cases Smoothed,Total Deaths,New Deaths,New Deaths Smoothed,Total Cases Per Million,New Cases Per Million,New Cases Smoothed Per Million,Total Deaths Per Million,New Deaths Per Million,New Deaths Smoothed Per Million,Reproduction Rate,Icu Patients,Icu Patients Per Million,Hosp Patients,Hosp Patients Per Million,Weekly Icu Admissions,Weekly Icu Admissions Per Million,Weekly Hosp Admissions,Weekly Hosp Admissions Per Million,Total Tests,New Tests,Total Tests Per Thousand,New Tests Per Thousand,New Tests Smoothed,New Tests Smoothed Per Thousand,Positive Rate,Tests Per Case,Tests Units,Total Vaccinations,People Vaccinated,People Fully Vaccinated,Total Boosters,New Vaccinations,New Vaccinations Smoothed,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred,Total Boosters Per Hundred,New Vaccinations Smoothed Per Million,New People Vaccinated Smoothed,New People Vaccinated Smoothed Per Hundred,Stringency Index,Population Density,Median Age,Aged 65 Older,Aged 70 Older,Gdp Per Capita,Extreme Poverty,Cardiovasc Death Rate,Diabetes Prevalence,Female Smokers,Male Smokers,Handwashing Facilities,Hospital Beds Per Thousand,Life Expectancy,Human Development Index,Population,Excess Mortality Cumulative Absolute,Excess Mortality Cumulative,Excess Mortality,Excess Mortality Cumulative Per Million
CPV,Africa,Cape Verde,2023-01-17,63222.0,1.0,1.143,412.0,0.0,0.0,106584.71,1.686,1.927,694.583,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,,,,
CYM,North America,Cayman Islands,2023-01-17,31472.0,0.0,0.0,37.0,0.0,0.0,457961.061,0.0,0.0,538.401,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
CAF,Africa,Central African Republic,2023-01-17,15361.0,1.0,1.429,113.0,0.0,0.0,2753.288,0.179,0.256,20.254,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
TCD,Africa,Chad,2023-01-17,7651.0,0.0,0.0,194.0,0.0,0.0,431.691,0.0,0.0,10.946,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
CHL,South America,Chile,2023-01-17,5090883.0,1478.0,2835.571,63548.0,7.0,23.857,259689.429,75.394,144.644,3241.627,0.357,1.217,,118.0,6.019,,,,,,,,,,,,,,,,62649887.0,18085169.0,17697462.0,27441977.0,2203.0,1973.0,319.58,92.25,90.28,139.98,101.0,158.0,0.001,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,,,,
CHN,Asia,China,2023-01-17,2023904.0,0.0,0.0,5273.0,0.0,0.0,1419.4,0.0,0.0,3.698,0.0,0.0,,,,,,,,,,,,,,,,,,,3488058000.0,1310096000.0,1276302000.0,825855000.0,420000.0,821714.0,244.62,91.88,89.51,57.92,576.0,95800.0,0.007,,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
COL,South America,Colombia,2023-01-17,6343059.0,0.0,0.0,141959.0,0.0,0.0,122278.127,0.0,0.0,2736.61,0.0,0.0,,,,,,,,,,,,,,,,,,,90046356.0,42938872.0,36919986.0,14614758.0,,12319.0,173.59,82.78,71.17,28.17,237.0,1412.0,0.003,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,,,,
COM,Africa,Comoros,2023-01-17,8992.0,5.0,0.857,161.0,0.0,0.0,10745.916,5.975,1.024,192.404,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
COG,Africa,Congo,2023-01-17,25375.0,0.0,0.0,386.0,0.0,0.0,4250.113,0.0,0.0,64.652,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
COK,Oceania,Cook Islands,2023-01-17,6959.0,0.0,14.143,2.0,0.0,0.143,408583.842,0.0,830.37,117.426,0.0,8.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
CRI,North America,Costa Rica,2023-01-17,1171802.0,0.0,0.0,9104.0,0.0,0.0,226180.099,0.0,0.0,1757.245,0.0,0.0,,,,,,,,,,,,,,,,,,,12666724.0,4594450.0,4300356.0,2791092.0,,2875.0,244.49,88.68,83.01,53.87,555.0,353.0,0.007,,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,,,,
CIV,Africa,Cote d'Ivoire,2023-01-17,87963.0,3.0,0.429,833.0,0.0,0.0,3123.625,0.107,0.015,29.58,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
HRV,Europe,Croatia,2023-01-17,1266619.0,116.0,128.571,17782.0,7.0,9.0,314269.367,28.782,31.901,4412.012,1.737,2.233,,,,,,,,,,,,,,,,,,,5357102.0,2320843.0,2250727.0,,139.0,246.0,132.92,57.58,55.84,,61.0,15.0,0.0,,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,,,,
CUB,North America,Cuba,2023-01-17,1112297.0,6.0,14.286,8530.0,0.0,0.0,99204.188,0.535,1.274,760.779,0.0,0.0,,,,,,,,,,,,,,,,,,,42939301.0,10721845.0,10005504.0,8681826.0,7180.0,19579.0,382.97,95.63,89.24,77.43,1746.0,182.0,0.002,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,,,,
CUW,North America,Curacao,2023-01-17,45986.0,0.0,0.0,299.0,0.0,0.0,240546.521,0.0,0.0,1564.028,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
CYP,Europe,Cyprus,2023-01-17,638062.0,3353.0,479.0,1270.0,0.0,1.143,712117.204,3742.158,534.594,1417.4,0.0,1.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
CZE,Europe,Czechia,2023-01-17,4585396.0,447.0,250.0,42264.0,6.0,6.286,436954.485,42.596,23.823,4027.448,0.572,0.599,,39.0,3.716,308.0,29.35,35.0,3.335,361.0,34.401,,,,,,,,,,18602178.0,6976350.0,6892141.0,5145196.0,756.0,828.0,177.27,66.48,65.68,49.03,79.0,24.0,0.0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,,,,
COD,Africa,Democratic Republic of Congo,2023-01-17,95346.0,1.0,24.714,1463.0,0.0,0.143,962.992,0.01,0.25,14.776,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
DNK,Europe,Denmark,2023-01-17,3397495.0,837.0,270.429,8032.0,50.0,13.0,577583.374,142.292,45.974,1365.462,8.5,2.21,,17.0,2.89,401.0,68.171,,,324.0,55.081,,,,,,,,,,13162535.0,4793409.0,4757926.0,3657231.0,73.0,92.0,223.77,81.49,80.89,62.17,16.0,14.0,0.0,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,,,,
DJI,Africa,Djibouti,2023-01-17,15690.0,0.0,0.0,189.0,0.0,0.0,13998.292,0.0,0.0,168.622,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
DMA,North America,Dominica,2023-01-17,15760.0,0.0,0.0,74.0,0.0,0.0,216608.483,0.0,0.0,1017.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
DOM,North America,Dominican Republic,2023-01-17,659606.0,0.0,48.286,4384.0,0.0,0.0,58742.231,0.0,4.3,390.424,0.0,0.0,,,,,,,,,,,,,,,,,,,16194089.0,7303408.0,6075336.0,2521011.0,1910.0,1441.0,144.22,65.04,54.1,22.45,128.0,211.0,0.002,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,,,,
ECU,South America,Ecuador,2023-01-17,1047624.0,7161.0,1023.0,35940.0,0.0,0.0,58198.094,397.811,56.83,1996.556,0.0,0.0,,,,,,,,,,,,,,,,,,,39362552.0,15320218.0,14220659.0,10386865.0,5540.0,4716.0,218.67,85.11,79.0,57.7,262.0,310.0,0.002,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,,,,
